member_casual,rideable_type,day_of_week,month,hour_of_day,total_rides,avg_ride_length_minutes
member,classic_bike,3,6,6,780,14.25
member,classic_bike,3,6,7,1681,12.51
casual,electric_bike,3,6,10,274,16.87
casual,electric_bike,3,6,14,479,18.82
casual,classic_bike,3,6,21,513,27.47
casual,electric_bike,5,6,19,640,15.2
member,electric_bike,5,6,21,542,11.94
casual,classic_bike,6,6,5,107,24.99
member,electric_bike,6,6,9,641,10.71
member,classic_bike,6,6,16,1738,13.11
member,classic_bike,7,6,16,1311,15.22
casual,electric_bike,7,6,17,1230,18.94
casual,classic_bike,2,6,1,84,29.82
member,electric_bike,2,6,11,608,11.16
member,electric_bike,2,6,20,858,12.53
member,classic_bike,3,6,11,843,11.65
casual,electric_bike,3,6,15,589,16.5
member,electric_bike,4,6,8,1307,9.47
member,classic_bike,4,6,12,824,11.8
casual,classic_bike,4,6,16,754,22.7
member,classic_bike,6,6,13,919,12.09
casual,electric_bike,6,6,19,725,17.39
member,electric_bike,6,6,21,470,11.84
casual,electric_bike,7,6,12,1129,20.46
member,classic_bike,7,6,15,1336,16.74
member,classic_bike,1,6,18,1193,14.87
member,electric_bike,2,6,6,928,9.3
casual,classic_bike,2,6,13,868,33.35
casual,classic_bike,2,6,16,1114,31.41
member,classic_bike,3,7,6,1049,18.51
member,classic_bike,3,7,7,2125,14.98
member,classic_bike,3,7,11,1131,12.09
casual,electric_bike,3,7,15,888,14.92
member,electric_bike,3,7,17,3068,11.68
member,classic_bike,3,7,20,1622,15.8
member,electric_bike,3,7,22,432,12.01
casual,classic_bike,4,7,1,76,19.84
member,electric_bike,4,7,7,2027,9.39
member,classic_bike,4,7,12,1224,12.58
casual,classic_bike,4,7,16,1019,26.42
member,classic_bike,4,7,17,3267,14.41
member,classic_bike,4,7,22,508,17.62
member,electric_bike,5,7,9,1005,10.06
casual,electric_bike,5,7,12,808,16.79
casual,electric_bike,6,7,12,906,19.73
member,classic_bike,6,7,13,1064,15.85
member,classic_bike,6,7,16,1657,14.89
casual,electric_bike,6,7,22,600,17.84
member,electric_bike,7,7,9,673,10.8
member,classic_bike,7,7,10,1191,14.59
member,classic_bike,7,7,14,1170,14.84
casual,electric_bike,7,7,19,1062,18.5
casual,classic_bike,7,7,20,1069,33.54
casual,electric_bike,1,7,14,1122,21.79
member,electric_bike,2,7,7,1288,9.34
member,electric_bike,2,7,8,1485,9.65
casual,electric_bike,2,7,9,311,15.88
member,classic_bike,2,7,12,833,11.57
casual,classic_bike,2,7,13,740,35.81
member,classic_bike,2,7,17,2868,15.06
casual,electric_bike,2,7,21,542,15.36
member,electric_bike,3,7,19,1381,11.4
member,electric_bike,4,7,18,1894,11.88
member,classic_bike,4,7,19,1977,14.05
member,classic_bike,5,7,14,1220,12.69
member,classic_bike,5,7,16,2209,13.42
casual,electric_bike,5,7,17,1640,14.65
casual,classic_bike,5,7,18,1458,27.76
member,classic_bike,6,7,14,1013,16.79
casual,electric_bike,6,7,19,989,17.82
member,electric_bike,6,7,21,627,12.69
member,electric_bike,7,7,2,111,12.67
member,classic_bike,7,7,3,43,32.14
member,classic_bike,7,7,13,1098,16.9
member,classic_bike,7,7,15,1150,15.95
member,classic_bike,7,7,16,1270,18.35
casual,electric_bike,7,7,17,1373,19.21
casual,electric_bike,1,7,15,1199,19.86
member,classic_bike,1,7,18,1202,14.46
member,electric_bike,2,7,6,777,8.94
casual,classic_bike,2,7,15,810,35.16
member,electric_bike,2,7,18,1457,11.88
member,classic_bike,2,7,19,1713,16.53
member,classic_bike,3,7,8,2477,12.79
casual,electric_bike,3,7,10,427,18.56
member,electric_bike,4,7,8,2224,9.82
casual,classic_bike,4,7,14,715,27.5
casual,classic_bike,6,7,6,126,21.87
member,classic_bike,6,7,15,1189,16.78
member,electric_bike,1,7,12,1027,13.18
casual,electric_bike,1,7,13,1157,21.9
member,electric_bike,1,7,17,848,13.32
casual,classic_bike,1,7,21,445,28.18
member,electric_bike,2,7,11,561,11.09
member,electric_bike,2,7,20,792,11.82
member,classic_bike,4,7,0,102,13.65
casual,electric_bike,4,7,9,417,13.96
member,electric_bike,4,7,11,753,10.46
member,classic_bike,6,7,1,64,9.38
member,electric_bike,6,7,9,628,9.87
casual,electric_bike,7,7,12,1020,19.89
member,electric_bike,7,7,21,560,13.79
casual,classic_bike,1,7,9,598,36.1
casual,electric_bike,1,7,16,1117,18.56
member,electric_bike,1,7,22,308,12.56
casual,classic_bike,2,7,16,979,30.27
member,classic_bike,3,7,18,3055,15.18
member,electric_bike,4,7,6,1031,10.41
member,classic_bike,4,7,23,239,13.64
member,classic_bike,5,7,15,1355,12.62
member,electric_bike,5,7,21,701,11.85
member,classic_bike,6,8,10,970,13.13
member,classic_bike,6,8,14,1430,13.14
casual,electric_bike,6,8,23,624,15.95
member,classic_bike,7,8,10,1723,14.2
casual,classic_bike,7,8,11,2445,36.8
member,classic_bike,7,8,13,1841,15.49
casual,classic_bike,7,8,18,1698,28.6
member,electric_bike,7,8,21,642,12.52
member,classic_bike,1,8,11,1710,16.48
member,electric_bike,1,8,12,1244,13.58
casual,electric_bike,1,8,14,1646,20.74
casual,electric_bike,2,8,2,80,17.98
member,electric_bike,2,8,6,754,8.86
member,electric_bike,2,8,8,1401,9.78
member,classic_bike,2,8,12,992,12.31
casual,classic_bike,2,8,13,671,33.38
member,classic_bike,3,8,6,750,11.94
member,classic_bike,3,8,7,1659,11.11
member,classic_bike,3,8,8,1993,11.34
member,classic_bike,3,8,18,2087,13.9
member,classic_bike,3,8,20,1096,13.39
casual,classic_bike,4,8,10,430,31.77
casual,classic_bike,4,8,14,653,37.58
casual,classic_bike,4,8,15,705,28.61
member,classic_bike,4,8,17,3108,14.33
member,electric_bike,4,8,18,1638,12.45
member,classic_bike,4,8,19,1787,14.53
member,electric_bike,5,8,9,772,9.95
member,classic_bike,5,8,15,1245,14.61
casual,classic_bike,6,8,11,1062,37.24
member,classic_bike,7,8,14,1766,15.31
casual,electric_bike,7,8,19,958,18.04
member,classic_bike,1,8,8,887,16.28
casual,electric_bike,1,8,13,1643,20.93
member,electric_bike,2,8,20,606,10.5
member,electric_bike,3,8,12,638,10.69
member,electric_bike,3,8,19,958,11.44
member,electric_bike,4,8,7,1678,9.82
member,classic_bike,5,8,10,855,12.12
member,classic_bike,5,8,16,2221,13.86
casual,electric_bike,6,8,12,1221,19.79
member,classic_bike,6,8,13,1455,12.21
member,classic_bike,6,8,16,2284,13.89
member,electric_bike,6,8,21,706,11.89
member,classic_bike,1,8,6,252,14.31
casual,electric_bike,1,8,15,1711,20.4
member,electric_bike,1,8,17,1257,13.63
member,classic_bike,1,8,20,883,13.85
casual,classic_bike,1,8,21,624,21.46
member,electric_bike,1,8,22,457,11.49
member,classic_bike,2,8,19,1387,13.38
member,electric_bike,4,8,6,843,9.21
casual,classic_bike,4,8,16,942,24.56
member,classic_bike,4,8,23,240,14.54
casual,classic_bike,5,8,7,272,18.94
casual,electric_bike,6,8,17,1764,16.39
member,electric_bike,7,8,2,130,10.45
member,classic_bike,7,8,15,1780,15.66
member,classic_bike,1,8,7,509,16.72
casual,electric_bike,1,8,10,1134,22.5
casual,classic_bike,2,8,10,382,42.48
casual,classic_bike,2,8,16,893,30.52
member,classic_bike,2,8,22,187,12.92
casual,classic_bike,3,8,9,369,27.61
member,classic_bike,4,8,0,83,12.76
casual,electric_bike,4,8,2,42,12.5
member,electric_bike,4,8,8,1801,9.97
member,classic_bike,5,8,14,854,13.5
casual,classic_bike,5,8,18,1362,27.26
member,classic_bike,6,8,1,91,12.22
member,electric_bike,6,8,2,70,15.49
member,electric_bike,6,8,9,1014,9.76
casual,electric_bike,1,8,16,1822,20.02
member,classic_bike,1,8,18,1729,16.0
casual,electric_bike,2,9,18,1103,14.2
casual,classic_bike,2,9,19,706,21.37
casual,electric_bike,3,9,0,193,9.56
member,classic_bike,3,9,16,2875,14.64
casual,electric_bike,3,9,23,233,11.96
casual,classic_bike,4,9,0,77,26.79
member,classic_bike,4,9,4,38,21.66
member,classic_bike,4,9,9,1102,12.05
member,classic_bike,5,9,12,1136,11.18
casual,classic_bike,5,9,13,444,23.25
casual,classic_bike,5,9,14,545,35.77
member,classic_bike,5,9,17,2827,13.86
member,electric_bike,5,9,18,1823,11.44
member,electric_bike,5,9,20,721,10.3
member,electric_bike,6,9,6,643,8.95
member,classic_bike,6,9,22,468,12.94
casual,classic_bike,7,9,15,1389,28.38
member,electric_bike,7,9,20,533,11.81
casual,electric_bike,1,9,0,445,14.09
casual,classic_bike,1,9,11,1218,39.27
member,classic_bike,1,9,16,1558,15.15
casual,classic_bike,1,9,20,345,27.1
casual,classic_bike,2,9,12,1127,37.83
member,classic_bike,3,9,13,1256,11.61
casual,classic_bike,3,9,20,463,23.69
casual,electric_bike,4,9,8,599,8.48
casual,classic_bike,4,9,12,402,27.2
member,electric_bike,4,9,16,2261,11.56
member,electric_bike,5,9,6,828,8.71
member,classic_bike,5,9,22,408,11.89
member,classic_bike,6,9,12,1189,11.42
member,electric_bike,6,9,20,663,11.06
member,classic_bike,6,9,23,379,14.99
casual,electric_bike,7,9,2,217,12.61
member,classic_bike,7,9,12,1489,14.6
casual,classic_bike,7,9,13,1460,30.79
casual,classic_bike,7,9,14,1468,31.27
member,classic_bike,7,9,19,725,13.22
member,electric_bike,1,9,2,115,10.11
casual,electric_bike,1,9,12,1217,19.33
member,classic_bike,1,9,14,1421,16.09
casual,electric_bike,1,9,17,977,18.77
member,electric_bike,2,9,13,939,10.59
member,electric_bike,2,9,16,2228,11.99
casual,classic_bike,3,9,11,427,32.79
member,classic_bike,3,9,15,1761,12.72
casual,electric_bike,4,9,7,501,8.78
member,electric_bike,4,9,10,539,11.08
member,electric_bike,4,9,14,875,10.89
member,electric_bike,5,9,5,214,7.06
member,electric_bike,5,9,8,1949,9.65
member,electric_bike,6,9,7,1220,9.37
casual,classic_bike,6,9,13,666,32.92
casual,classic_bike,7,9,16,1398,30.77
member,classic_bike,1,9,13,1435,15.02
casual,electric_bike,1,9,22,264,13.81
member,electric_bike,3,9,9,968,9.65
member,classic_bike,4,9,21,686,12.83
member,electric_bike,5,9,11,642,11.44
member,electric_bike,6,9,11,800,10.31
casual,classic_bike,6,9,15,837,27.64
casual,classic_bike,6,9,16,998,26.21
member,classic_bike,6,9,19,1228,14.81
member,classic_bike,7,9,22,451,13.47
member,classic_bike,1,9,1,183,10.68
member,electric_bike,1,9,9,648,11.11
casual,classic_bike,1,9,18,965,27.57
member,classic_bike,2,9,9,1278,11.17
casual,classic_bike,3,9,8,485,17.48
casual,electric_bike,3,9,12,551,16.1
casual,electric_bike,3,9,17,1613,14.09
casual,classic_bike,4,10,11,314,26.11
casual,electric_bike,4,10,12,459,12.97
member,classic_bike,4,10,15,1565,11.55
member,classic_bike,4,10,16,2537,12.23
casual,electric_bike,4,10,23,178,9.98
member,classic_bike,5,10,5,242,13.97
member,classic_bike,5,10,11,1064,11.1
member,electric_bike,5,10,12,955,9.56
member,electric_bike,5,10,17,3129,11.52
member,electric_bike,5,10,23,399,10.69
member,classic_bike,6,10,5,210,14.4
member,classic_bike,7,10,7,353,11.11
member,classic_bike,7,10,8,678,13.39
member,electric_bike,7,10,17,1046,12.03
member,electric_bike,7,10,19,670,11.15
casual,classic_bike,1,10,0,241,13.42
member,classic_bike,2,10,14,921,12.18
member,classic_bike,2,10,16,1878,14.21
member,electric_bike,2,10,21,441,9.7
member,electric_bike,3,10,14,660,9.83
casual,electric_bike,3,10,20,245,10.25
member,electric_bike,4,10,9,955,8.76
member,classic_bike,4,10,13,1159,11.25
casual,electric_bike,5,10,16,1284,12.85
member,classic_bike,6,10,8,1571,12.75
casual,electric_bike,6,10,10,485,16.58
casual,electric_bike,6,10,15,1276,15.96
member,electric_bike,6,10,19,1122,10.51
member,electric_bike,6,10,22,569,10.02
member,classic_bike,7,10,6,161,11.97
casual,electric_bike,7,10,16,1095,17.56
member,classic_bike,7,10,18,1079,15.66
member,classic_bike,7,10,20,490,13.46
member,classic_bike,1,10,9,717,17.13
casual,classic_bike,1,10,12,1214,31.39
member,electric_bike,1,10,13,868,12.78
member,electric_bike,1,10,16,1012,13.48
member,classic_bike,2,10,13,955,13.19
member,electric_bike,3,10,13,673,9.9
member,electric_bike,3,10,16,1936,10.88
casual,electric_bike,3,10,18,594,11.43
casual,classic_bike,4,10,6,92,23.58
member,classic_bike,4,10,14,1125,10.56
casual,classic_bike,4,10,18,622,20.86
member,classic_bike,5,10,6,790,11.99
member,classic_bike,5,10,7,1825,13.41
member,electric_bike,5,10,19,1311,10.89
member,classic_bike,6,10,7,1198,13.05
member,classic_bike,6,10,11,1089,13.25
member,electric_bike,6,10,12,1148,9.66
member,electric_bike,6,10,17,2169,11.4
member,classic_bike,6,10,20,804,11.68
member,electric_bike,6,10,23,428,9.95
casual,electric_bike,7,10,10,948,18.33
member,electric_bike,1,10,3,62,10.05
casual,classic_bike,2,10,7,199,15.29
member,classic_bike,2,10,15,1226,13.1
casual,electric_bike,3,10,8,397,8.32
member,classic_bike,3,10,9,781,11.78
member,electric_bike,3,10,10,422,9.21
member,classic_bike,3,10,21,538,11.01
member,electric_bike,5,10,0,98,11.35
casual,electric_bike,5,10,1,74,10.43
member,classic_bike,5,10,8,2285,12.63
member,classic_bike,7,10,11,1345,14.33
member,electric_bike,7,10,22,420,10.86
member,electric_bike,1,10,14,929,12.47
member,classic_bike,2,10,10,718,13.02
member,classic_bike,4,10,10,914,13.94
member,electric_bike,5,10,22,520,9.98
casual,electric_bike,6,10,3,40,7.65
member,classic_bike,7,11,10,899,13.43
member,classic_bike,7,11,15,1087,15.2
member,classic_bike,1,11,6,102,12.79
casual,classic_bike,1,11,9,246,25.17
member,electric_bike,2,11,5,163,6.82
member,electric_bike,2,11,7,962,8.93
member,classic_bike,2,11,12,623,11.77
member,classic_bike,2,11,17,1506,11.86
member,electric_bike,2,11,18,932,8.95
member,classic_bike,2,11,23,94,13.21
member,classic_bike,3,11,7,880,13.24
member,classic_bike,3,11,8,1218,12.66
member,classic_bike,3,11,11,511,10.91
member,electric_bike,3,11,12,499,8.95
member,electric_bike,3,11,19,626,9.02
member,electric_bike,4,11,7,1267,9.06
member,electric_bike,4,11,11,448,8.83
member,electric_bike,4,11,20,447,9.24
casual,classic_bike,5,11,8,155,22.69
member,classic_bike,5,11,15,820,14.89
member,electric_bike,6,11,9,549,8.65
member,classic_bike,6,11,13,798,13.06
member,classic_bike,6,11,15,1027,14.66
member,classic_bike,7,11,14,1171,14.54
member,classic_bike,7,11,16,897,15.82
casual,electric_bike,1,11,14,467,16.64
member,classic_bike,3,11,5,129,15.68
member,classic_bike,3,11,6,399,14.16
casual,electric_bike,3,11,15,362,9.62
member,electric_bike,4,11,6,615,7.66
member,classic_bike,4,11,12,677,15.92
member,electric_bike,4,11,18,1030,9.52
member,classic_bike,5,11,16,1156,11.58
member,electric_bike,6,11,21,327,10.25
member,electric_bike,7,11,9,587,9.65
casual,classic_bike,7,11,20,193,22.28
member,classic_bike,1,11,11,920,16.07
member,classic_bike,1,11,18,554,13.36
member,electric_bike,2,11,11,367,11.39
casual,classic_bike,2,11,15,220,22.55
member,classic_bike,3,11,20,545,13.17
member,electric_bike,3,11,22,260,9.6
member,classic_bike,4,11,17,1670,12.04
member,classic_bike,4,11,19,747,14.55
member,classic_bike,5,11,10,524,13.06
member,classic_bike,5,11,13,638,11.83
member,classic_bike,6,11,10,571,10.75
casual,electric_bike,1,11,13,403,15.55
casual,electric_bike,1,11,15,520,13.69
casual,electric_bike,1,11,16,419,13.41
member,electric_bike,1,11,17,579,11.61
member,electric_bike,2,11,8,1054,8.79
member,electric_bike,2,11,20,361,9.99
member,classic_bike,3,11,18,1165,12.25
casual,electric_bike,5,11,0,65,10.55
member,classic_bike,7,11,13,1078,15.99
member,classic_bike,2,12,8,547,14.2
member,electric_bike,3,12,7,641,7.94
member,electric_bike,6,12,10,202,8.5
member,electric_bike,2,12,17,723,10.24
member,electric_bike,2,12,19,320,8.85
member,classic_bike,4,12,6,222,12.91
member,classic_bike,4,12,8,532,12.55
member,classic_bike,4,12,11,318,10.39
member,classic_bike,4,12,18,520,12.92
member,electric_bike,4,12,22,114,9.72
casual,classic_bike,5,12,12,63,19.06
member,electric_bike,7,12,14,297,10.59
casual,electric_bike,3,12,4,8,4.88
member,electric_bike,3,12,8,858,8.55
member,classic_bike,3,12,17,867,21.1
member,electric_bike,3,12,18,547,9.08
member,electric_bike,6,12,16,563,10.09
member,electric_bike,1,12,18,176,11.28
casual,electric_bike,2,12,15,133,8.32
member,electric_bike,4,12,0,27,7.56
casual,classic_bike,6,12,19,55,11.53
member,classic_bike,6,12,21,125,19.06
member,electric_bike,2,12,12,278,9.65
member,electric_bike,4,1,2,33,9.27
member,electric_bike,5,1,19,360,7.61
member,classic_bike,5,1,20,273,10.01
member,classic_bike,6,1,8,408,10.04
member,electric_bike,1,1,15,241,10.17
member,classic_bike,2,1,13,303,9.51
casual,electric_bike,2,1,23,23,14.91
member,classic_bike,4,1,10,344,9.31
casual,electric_bike,4,1,17,172,7.97
member,classic_bike,5,1,5,112,9.55
casual,electric_bike,5,1,13,137,10.07
